City,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country_Code,Date
marzuq,23.057270000000003,15.037350000000002,82.27,33,0,0.89,ly,1600315525
victoria,-4.00996,57.14193000000001,87.01,82,94,1.99,sc,1600315302
saint anthony,55.136950000000006,-55.136950000000006,57.2,66,1,3.36,ca,1600315525
auki,-6.014940000000001,163.40587000000002,85.42,71,100,8.03,sb,1600315525
kaeo,-26.064740000000004,176.43824,66.99,48,0,8.99,nz,1600315525
tura,63.156870000000005,100.24900000000001,79.21,91,94,6.26,ru,1600315526
port elizabeth,-77.19173,36.08964,55.4,76,1,11.41,za,1600315526
busselton,-66.16434000000001,93.23157,60.01,57,0,5.99,au,1600315526
avarua,-47.11703000000001,-162.40338000000003,75.2,69,13,9.17,ck,1600315390
rikitea,-55.136950000000006,-112.27888000000002,72.84,83,20,16.71,pf,1600315526
tiksi,82.20418000000001,130.3237,48.87,77,94,13.96,ru,1600315527
vaini,-85.21165,-168.41832000000002,75.2,69,75,13.87,to,1600315527
ancud,-39.09711,-94.23406000000001,51.01,90,100,4,cl,1600315527
iqaluit,59.146910000000005,-68.16932000000001,32,88,75,3.36,ca,1600315527
provideniya,56.13944000000001,-171.42579,48.2,87,75,4.47,ru,1600315528
haines junction,63.156870000000005,-139.34611,45.9,57,100,1.99,ca,1600315528
hermanus,-80.1992,0.0,46.99,96,0,5.41,za,1600315528
fort nelson,58.144420000000004,-121.30129000000001,44.6,87,75,3.36,ca,1600315528
palmer,56.13944000000001,-144.35856,59,82,75,5.82,us,1600315529
mataura,-74.18426000000001,-145.36105,44.01,82,100,18.99,pf,1600315529
new norfolk,-69.17181000000001,129.32121,57.99,50,20,1.99,au,1600315529
puerto ayora,-12.029880000000002,-94.23406000000001,66,91,85,4,ec,1600315529
merrill,46.114540000000005,-89.22161000000001,51.8,93,1,4.09,us,1600315530
qingdao,36.08964,120.29880000000001,77,47,99,6.71,cn,1600315530
ribeira grande,34.08466000000001,-35.08715,66.65,62,55,12.1,pt,1600315530
kahului,22.05478,-156.38844,84.2,54,1,21.92,us,1600315420
hofn,64.15936,-11.02739,50.31,93,100,27.31,is,1600315530
