City,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country_Code
guerrero negro,20.0498,-124.30876,76.55,59,42,13.69,mx
aksaray,38.094620000000006,34.08466000000001,57.2,67,40,3.36,tr
lokosovo,60.14940000000001,74.18426000000001,50.4,89,71,3.42,ru
upernavik,76.18924000000001,-57.14193000000001,31.37,94,92,4.18,gl
touros,-2.00498,-35.08715,73.4,78,20,4.7,br
nantucket,40.0996,-70.1743,64.4,93,1,6.93,us
albany,-62.15438,118.29382000000001,64,99,93,5.12,au
mtwango,-9.02241,35.08715,55.54,96,77,11.05,tz
pilar,11.02739,129.32121,68,94,40,4.14,ph
palmeiras de goias,-17.042330000000003,-50.124500000000005,69.69,34,0,5.37,br
puerto leguizamo,-2.00498,-74.18426000000001,71.06,97,49,2.57,co
hithadhoo,2.00498,73.18177000000001,81.34,68,30,4.65,mv
natal,-2.00498,-25.062250000000002,73.4,88,20,5.82,br
fortuna,39.09711,-135.33615,59,100,90,3.36,us
busselton,-57.14193000000001,96.23904000000002,64.99,63,84,1.99,au
yellowknife,77.19173,-106.26394,37.4,64,75,4.7,ca
grindavik,59.146910000000005,-27.067230000000002,44.6,87,75,10.29,is
rikitea,-86.21414000000001,-127.31623000000002,73.65,85,23,15.35,pf
pevek,84.20916000000001,172.42828000000003,45,76,100,10.92,ru
avarua,-65.16185,-167.41583000000003,73.4,64,48,10.29,ck
batagay,67.16683,136.33864000000003,45.9,87,100,6.46,ru
bambous virieux,-25.062250000000002,72.17928,69.8,83,75,12.75,mu
ponta do sol,20.0498,-24.059760000000004,69.8,73,20,10.29,cv
vila franca do campo,45.11205,-20.0498,71.6,78,40,14.99,pt
ipora,-17.042330000000003,-51.126990000000006,70.68,27,0,3.04,br
mayo,64.15936,-134.33366,73.4,100,1,3.36,ca
rikitea,-74.18426000000001,-130.3237,73.65,85,23,15.35,pf
heihe,50.124500000000005,126.31374000000001,62.6,77,40,3.24,cn
isangel,-18.04482,173.43077000000002,75.2,88,90,8.05,vu
guerrero negro,23.057270000000003,-120.29880000000001,76.55,59,42,13.69,mx
coihaique,-47.11703000000001,-71.17679000000001,42.8,84,20,1.12,cl
arraial do cabo,-49.12201,-23.057270000000003,73.4,78,0,18.34,br
saskylakh,87.21663000000001,119.29631,51.64,69,100,4.23,ru
cherskiy,86.21414000000001,163.40587000000002,53.98,50,79,10.13,ru
cape town,-50.124500000000005,2.00498,55,76,20,9.17,za
yellowknife,86.21414000000001,-113.28137000000001,37.4,64,75,4.7,ca
longyearbyen,88.21912,27.067230000000002,35.6,87,75,1.81,sj
reykjavik,64.15936,-22.05478,44.6,75,75,12.75,is
bambous virieux,-36.08964,83.20667,69.8,83,75,12.75,mu
hobart,-59.146910000000005,149.37101,57.2,41,40,23.04,au
emerald,-25.062250000000002,144.35856,82.4,39,75,14.99,au
cape town,-58.144420000000004,2.00498,55,76,20,9.17,za
ixtapa,9.02241,-106.26394,84.2,74,75,6.93,mx
san vicente,19.047310000000003,127.31623000000002,71.4,51,100,2.06,ph
faanui,-10.0249,-156.38844,78.62,76,34,8.52,pf
palmer,59.146910000000005,-144.35856,69.8,77,90,5.82,us
ushuaia,-86.21414000000001,-78.19422,44.6,52,75,24.16,ar
khatanga,83.20667,106.26394,54.86,51,0,6.89,ru
pincher creek,49.12201,-114.28386000000002,55.4,71,86,6.93,ca
ushuaia,-85.21165,-87.21663000000001,44.6,52,75,24.16,ar
yellowknife,82.20418000000001,-112.27888000000002,37.4,64,75,4.7,ca
albany,-69.17181000000001,104.25896000000002,64,99,93,5.12,au
lishu,43.10707000000001,124.30876,69.19,71,44,3.24,cn
puerto narino,-3.0074700000000005,-71.17679000000001,78.8,100,7,1.25,co
butaritari,6.014940000000001,166.41334,83.64,70,0,13.42,ki
piqua,40.0996,-84.20916000000001,64.99,76,15,7.9,us
buala,-4.00996,160.3984,86.16,65,3,8.3,sb
quang ngai,16.03984,111.27639,90.77,54,90,3.56,vn
inta,65.16185,60.14940000000001,49.96,76,100,14.16,ru
urambo,-5.01245,32.07968,66.87,55,69,5.5,tz
prado,-17.042330000000003,-39.09711,71.78,84,2,10.8,br
hobart,-67.16683,147.36603000000002,57.2,41,40,23.04,au
hobart,-70.1743,147.36603000000002,57.2,41,40,23.04,au
havre-saint-pierre,53.13197,-63.156870000000005,51.8,93,90,13.87,ca
mataura,-78.19422,-152.37848000000002,55,75,44,15.99,pf
kapaa,38.094620000000006,-175.43575,86,58,75,10.29,us
punta arenas,-71.17679000000001,-91.22659000000002,44.6,71,100,17.22,cl
pathein,17.042330000000003,92.22908000000001,85.8,76,100,7.07,mm
