City,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country_Code
kloulklubed,5.01245,132.32868000000002,86,70,75,6.93,pw
cabedelo,-5.01245,-29.072210000000002,73.4,94,5,5.82,br
albany,-56.13944000000001,116.28884000000001,48,74,6,3.51,au
hilo,12.029880000000002,-147.36603000000002,80.6,65,20,6.93,us
hofn,64.15936,-12.029880000000002,47.71,59,90,4.21,is
ushuaia,-74.18426000000001,-20.0498,33.8,74,40,3.36,ar
busselton,-69.17181000000001,94.23406000000001,60.01,78,38,7,au
ayan,58.144420000000004,140.3486,56.68,73,1,9.8,ru
bredasdorp,-62.15438,17.042330000000003,46.4,87,10,6.93,za
rikitea,-64.15936,-127.31623000000002,74.03,72,0,1.59,pf
paita,-6.014940000000001,-84.20916000000001,61.74,84,82,12.41,pe
punta arenas,-70.1743,-110.27390000000001,30.2,86,0,8.05,cl
matagami,50.124500000000005,-77.19173,44.6,93,90,14.99,ca
kavieng,18.04482,154.38346,84.63,74,77,15.7,pg
bilma,22.05478,14.034860000000002,87.46,30,0,6.29,ne
sambava,-12.029880000000002,57.14193000000001,68.85,78,2,10.94,mg
goderich,1.00249,-23.057270000000003,68,65,14,1.99,sl
sept-iles,52.12948000000001,-65.16185,30.2,100,5,2.24,ca
san patricio,3.0074700000000005,-114.28386000000002,79.77,86,70,5.59,mx
krasnoarmeysk,56.13944000000001,38.094620000000006,48.99,72,0,13,ru
nikolskoye,38.094620000000006,173.43077000000002,46.99,93,96,4.47,ru
provideniya,61.15189000000001,-173.43077000000002,50,81,90,6.71,ru
acapulco,9.02241,-104.25896000000002,79.84,77,78,3.89,mx
butaritari,12.029880000000002,159.39591000000001,83.64,74,57,16.98,ki
sao joao da barra,-32.07968,-27.067230000000002,72.91,84,44,7.02,br
saldanha,-37.092130000000004,6.014940000000001,46.4,87,1,3.36,za
tahoua,17.042330000000003,4.00996,80.6,88,57,6.93,ne
hobart,-73.18177000000001,138.34362000000002,64.4,34,90,18.34,au
kenai,62.15438,-156.38844,53.6,81,90,9.17,us
lagoa,41.102090000000004,-27.067230000000002,65.48,68,92,19.8,pt
thompson,74.18426000000001,-96.23904000000002,35.6,93,90,17.22,ca
berlevag,83.20667,32.07968,44.6,93,75,4.7,no
tautira,-18.04482,-143.35607000000002,82.4,65,75,9.17,pf
seoul,39.09711,128.31872,77,69,90,6.85,kr
cape town,-61.15189000000001,-16.03984,53.01,87,75,11.41,za
port alfred,-88.21912,51.126990000000006,56.41,87,39,6.67,za
bluff,-70.1743,156.38844,51.01,91,99,15.01,nz
mormugao,14.034860000000002,71.17679000000001,78.8,94,75,2.24,in
abu dhabi,22.05478,53.13197,84.2,26,0,9.17,ae
lompoc,25.062250000000002,-125.31125000000002,57.2,93,90,5.82,us
galle,4.00996,79.19671000000001,81.81,83,86,13.58,lk
smithers,58.144420000000004,-128.31872,50,93,5,2.24,ca
romny,51.126990000000006,129.32121,54.05,94,10,4.63,ru
esperance,-28.069720000000004,124.30876,59,87,90,20.8,au
kapaa,34.08466000000001,-163.40587000000002,84.2,62,40,8.05,us
arraial do cabo,-56.13944000000001,-17.042330000000003,70.48,90,73,13,br
puerto ayora,-8.01992,-102.25398000000001,66,92,71,3,ec
albstadt,48.11952000000001,9.02241,62.01,77,94,1.77,de
ishigaki,23.057270000000003,125.31125000000002,89.6,79,75,12.75,jp
hermanus,-59.146910000000005,14.034860000000002,41,96,8,10.27,za
vaini,-25.062250000000002,-179.44571000000002,75.2,73,40,11.41,to
mataura,-69.17181000000001,-152.37848000000002,51.01,91,100,15.01,pf
arantangi,10.0249,79.19671000000001,85.33,60,100,2.37,in
aviles,45.11205,-6.014940000000001,64.4,93,75,4.7,es
rawson,-45.11205,-65.16185,44.64,59,37,7.67,ar
tiksi,74.18426000000001,125.31125000000002,45.61,68,25,2.48,ru
severo-kurilsk,44.10956,163.40587000000002,56.62,59,50,12.48,ru
isetskoye,56.13944000000001,65.16185,49.5,88,100,4.38,ru
yellowknife,73.18177000000001,-111.27639,32,68,20,4.05,ca
mancio lima,-7.017430000000001,-73.18177000000001,70.99,97,51,0.76,br
santiago del estero,-27.067230000000002,-63.156870000000005,56.43,47,0,5.39,ar
kodiak,45.11205,-153.38097000000002,55.54,91,57,4.65,us
east london,-58.144420000000004,43.10707000000001,51.8,93,93,3.36,za
torbay,46.114540000000005,-51.126990000000006,48.99,66,90,12.75,ca
sao domingos,-13.032370000000002,-46.114540000000005,74.16,43,1,14.36,br
new norfolk,-50.124500000000005,139.34611,64.4,34,90,18.34,au
itoman,22.05478,129.32121,87.8,79,75,12.75,jp
mandalgovi,44.10956,108.26892000000001,49.73,49,0,12.46,mn
mahebourg,-46.114540000000005,80.1992,69.8,64,75,12.75,mu
bang saphan,11.02739,100.24900000000001,87.8,74,75,5.82,th
haines junction,62.15438,-138.34362000000002,45.07,58,95,4.97,ca
kaitangata,-62.15438,175.43575,53.01,64,92,21,nz
shingu,29.072210000000002,137.34113000000002,78.8,74,75,6.93,jp
batagay,67.16683,135.33615,50.41,57,27,3.49,ru
chiang khong,20.0498,100.24900000000001,84.2,79,40,5.82,th
avarua,-26.064740000000004,-164.40836000000002,75.2,73,59,9.17,ck
honiara,-15.037350000000002,157.39093000000003,91.4,59,75,16.11,sb
lavrentiya,69.17181000000001,-172.42828000000003,45.32,88,97,12.12,ru
laranjeiras do sul,-25.062250000000002,-52.12948000000001,62.53,77,99,4.83,br
souillac,-54.134460000000004,77.19173,69.8,64,75,12.75,mu
saint-joseph,-23.057270000000003,55.136950000000006,71.6,49,20,8.05,re
bengkulu,-22.05478,86.21414000000001,78.66,81,99,3.74,id
port elizabeth,-87.21663000000001,34.08466000000001,53.6,93,40,3.36,za
saint anthony,54.134460000000004,-53.13197,71.6,68,1,6.93,ca
cherskiy,79.19671000000001,156.38844,42.85,80,100,2.3,ru
belmonte,-17.042330000000003,-30.074700000000004,75.2,78,40,6.93,br
mezen,67.16683,46.114540000000005,44.38,84,99,4.43,ru
ada,35.08715,-96.23904000000002,69.01,39,1,3.36,us
nogent-le-rotrou,48.11952000000001,1.00249,64.4,72,23,4.7,fr
ozernovskiy,52.12948000000001,157.39093000000003,53.58,73,65,6.6,ru
cayenne,16.03984,-41.102090000000004,77,100,75,4.7,gf
morehead,-8.01992,141.35109000000003,64.4,100,1,5.3,pg
dikson,83.20667,78.19422,42.3,95,99,16.44,ru
lebu,-35.08715,-104.25896000000002,49.91,95,90,2.26,cl
bathsheba,16.03984,-53.13197,82.4,78,20,11.41,bb
quatre cocos,-18.04482,62.15438,72,64,75,12.75,mu
hamilton,29.072210000000002,-63.156870000000005,57.99,93,1,3.36,bm
sola,-15.037350000000002,169.42081000000002,84.2,70,75,5.82,vu
bubaque,5.01245,-23.057270000000003,79.84,85,99,9.37,gw
upernavik,79.19671000000001,-54.134460000000004,26.76,87,16,11.77,gl
jamestown,-32.07968,-3.0074700000000005,54,76,1,8.05,sh
georgetown,-7.017430000000001,-16.03984,86,70,20,2.24,sh
gamboula,4.00996,15.037350000000002,67.05,99,77,3.51,cf
clyde river,68.16932000000001,-74.18426000000001,32,94,75,9.17,ca
tuatapere,-51.126990000000006,157.39093000000003,51.01,91,100,15.01,nz
beisfjord,68.16932000000001,18.04482,44.6,93,100,8.05,no
carnarvon,-26.064740000000004,94.23406000000001,73.4,64,0,25.28,au
ribeira grande,37.092130000000004,-30.074700000000004,65.75,62,87,14.16,pt
yeppoon,-21.052290000000003,154.38346,80.6,39,2,10.29,au
hithadhoo,-2.00498,65.16185,81.81,71,100,9.1,mv
southern pines,35.08715,-79.19671000000001,60.8,72,1,6.93,us
pevek,70.1743,168.41832000000002,43.32,77,96,5.53,ru
